creature_id,display_name,body,trait,attribute_main,attribute_sub,cost,attack,hp,speed,weird,rarity,power_score,ability_name,ability_text
"001-001","双爺","爺","爺","知","知","3","2","6","1","4","Common","8.3","老獪知恵袋","老獪：後攻なら、このクリーチャーは体力+1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"001-002","爺番長","番長","爺","武","知","4","4","6","3","3","Common","8.8","老獪舎弟呼び","老獪：後攻なら、このクリーチャーは体力+1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"001-003","爺忍者","忍者","爺","影","知","4","4","4","5","4","Rare","9.9","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 影分け：速度が相手以上なら、受けるダメージ-1。 / 熟練：後攻時、反撃できる。"
"001-004","爺受験","受験","爺","学","知","4","2","7","2","7","Common","9.4","老獪試験場","老獪：後攻なら、このクリーチャーは体力+1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"001-005","爺宿題","宿題","爺","学","知","4","1","7","2","6","Common","7.5","老獪未提出","老獪：後攻なら、このクリーチャーは体力+1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"001-006","爺校長","校長","爺","知","知","4","2","8","2","5","Common","9","老獪朝礼台","老獪：後攻なら、このクリーチャーは体力+1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"001-007","爺コブシ","コブシ","爺","武","知","5","6","5","2","3","Rare","8.2","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。 / 熟練：後攻時、反撃できる。"
"001-008","爺牙","牙","爺","武","知","5","6","4","3","3","Rare","8","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。 / 熟練：後攻時、反撃できる。"
"001-009","爺雷","雷","爺","雷","知","5","5","4","5","5","Common","9","老獪帯電体","老獪：後攻なら、このクリーチャーは体力+1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"001-010","爺猫","猫","爺","獣","知","4","3","4","6","4","Common","8.7","老獪俊敏","老獪：後攻なら、このクリーチャーは体力+1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"001-011","爺犬","犬","爺","獣","知","4","3","6","4","2","Common","7.7","老獪かばう","老獪：後攻なら、このクリーチャーは体力+1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"001-012","爺鬼","鬼","爺","怪","知","6","7","6","2","6","Rare","10.5","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。 / 熟練：後攻時、反撃できる。"
"001-013","爺幽霊","幽霊","爺","影","知","4","2","4","3","8","Super Rare","7.9","老獪未練","老獪：後攻なら、このクリーチャーは体力+1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"001-014","爺魔王","魔王","爺","闇","知","5","6","7","2","6","Rare","11.5","老獪玉座","老獪：後攻なら、このクリーチャーは体力+1。 / 玉座：場にいる味方1体につき攻撃+1。"
"001-015","爺呪い","呪い","爺","影","知","4","1","5","2","9","Super Rare","7.6","老獪返り呪","老獪：後攻なら、このクリーチャーは体力+1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"001-016","爺饅頭","饅頭","爺","食","知","4","2","8","2","4","Common","8.3","老獪あんこ壁","老獪：後攻なら、このクリーチャーは体力+1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"001-017","爺鍋","鍋","爺","食","知","4","2","7","2","5","Common","8","老獪鉄鍋","老獪：後攻なら、このクリーチャーは体力+1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"001-018","爺鍵","鍵","爺","知","知","4","2","5","3","6","Common","8.7","老獪鍵穴体","老獪：後攻なら、このクリーチャーは体力+1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"001-019","爺透明","透明","爺","影","知","5","3","4","6","8","Super Rare","9.5","老獪見えない本体","老獪：後攻なら、このクリーチャーは体力+1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"001-020","爺暴走","暴走","爺","怪","知","6","6","5","5","7","Common","10.6","老獪暴走体","老獪：後攻なら、このクリーチャーは体力+1。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"002-001","番長爺","爺","番長","知","武","4","3","5","1","5","Common","7.2","威圧知恵袋","威圧：召喚時、正面の敵の速度-1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"002-002","大番長","番長","番長","武","武","5","5","5","3","4","Rare","8.5","威圧校内抗争","威圧：召喚時、正面の敵の速度-1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。 / 校内抗争：召喚時、敵1体の速度-1。"
"002-003","番長忍者","忍者","番長","影","武","5","4","3","7","4","Common","7.7","威圧影分け","威圧：召喚時、正面の敵の速度-1。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"002-004","番長受験","受験","番長","学","武","4","3","6","2","7","Common","9.6","威圧試験場","威圧：召喚時、正面の敵の速度-1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"002-005","番長宿題","宿題","番長","学","武","4","2","6","2","6","Common","7.7","威圧未提出","威圧：召喚時、正面の敵の速度-1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"002-006","番長校長","校長","番長","知","武","4","3","7","2","5","Common","9.2","威圧朝礼台","威圧：召喚時、正面の敵の速度-1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"002-007","番長コブシ","コブシ","番長","武","武","4","6","4","3","3","Common","9.2","威圧打撃体","威圧：召喚時、正面の敵の速度-1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"002-008","番長牙","牙","番長","武","武","5","6","3","5","3","Common","7.8","威圧鋭牙","威圧：召喚時、正面の敵の速度-1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"002-009","番長雷","雷","番長","雷","武","5","6","3","6","5","Common","10","威圧帯電体","威圧：召喚時、正面の敵の速度-1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"002-010","番長猫","猫","番長","獣","武","5","4","3","7","4","Common","7.7","威圧俊敏","威圧：召喚時、正面の敵の速度-1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"002-011","番長犬","犬","番長","獣","武","4","4","5","5","2","Common","8.7","威圧かばう","威圧：召喚時、正面の敵の速度-1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"002-012","番長鬼","鬼","番長","怪","武","5","7","5","3","6","Rare","11.5","威圧金棒乱舞","威圧：召喚時、正面の敵の速度-1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"002-013","番長幽霊","幽霊","番長","影","武","4","3","3","4","8","Super Rare","8.9","威圧未練","威圧：召喚時、正面の敵の速度-1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"002-014","番長魔王","魔王","番長","闇","武","6","7","6","3","6","Rare","10.5","威圧玉座","威圧：召喚時、正面の敵の速度-1。 / 玉座：場にいる味方1体につき攻撃+1。"
"002-015","番長呪い","呪い","番長","影","武","4","2","4","2","9","Super Rare","7.8","威圧返り呪","威圧：召喚時、正面の敵の速度-1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"002-016","番長饅頭","饅頭","番長","食","武","4","3","7","2","4","Common","8.5","威圧あんこ壁","威圧：召喚時、正面の敵の速度-1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"002-017","番長鍋","鍋","番長","食","武","4","3","6","2","5","Common","8.2","威圧鉄鍋","威圧：召喚時、正面の敵の速度-1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"002-018","番長鍵","鍵","番長","知","武","4","3","4","4","6","Common","9.7","威圧鍵穴体","威圧：召喚時、正面の敵の速度-1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"002-019","番長透明","透明","番長","影","武","5","4","3","7","8","Super Rare","10.5","威圧見えない本体","威圧：召喚時、正面の敵の速度-1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"002-020","番長暴走","暴走","番長","怪","武","6","7","4","6","7","Common","11.6","威圧暴走体","威圧：召喚時、正面の敵の速度-1。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"003-001","忍者爺","爺","忍者","知","影","4","3","4","3","4","Common","7.9","忍び足知恵袋","忍び足：最初の攻撃時、相手は反撃できない。 / 知恵袋：倒されたとき、カードを1枚引く。"
"003-002","忍者番長","番長","忍者","武","影","4","5","4","5","3","Common","10.4","忍び足舎弟呼び","忍び足：最初の攻撃時、相手は反撃できない。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"003-003","忍者忍者","忍者","忍者","影","影","4","4","2","8","3","Common","9.6","忍び足影分け","忍び足：最初の攻撃時、相手は反撃できない。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"003-004","忍者受験","受験","忍者","学","影","4","3","5","4","6","Common","10.3","忍び足試験場","忍び足：最初の攻撃時、相手は反撃できない。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"003-005","忍者宿題","宿題","忍者","学","影","4","2","5","4","5","Common","8.4","忍び足未提出","忍び足：最初の攻撃時、相手は反撃できない。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"003-006","忍者校長","校長","忍者","知","影","4","3","6","4","4","Common","9.9","忍び足朝礼台","忍び足：最初の攻撃時、相手は反撃できない。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"003-007","忍者コブシ","コブシ","忍者","武","影","4","6","3","5","2","Common","9.9","忍び足打撃体","忍び足：最初の攻撃時、相手は反撃できない。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"003-008","忍者牙","牙","忍者","武","影","4","6","2","7","2","Common","10.5","忍び足鋭牙","忍び足：最初の攻撃時、相手は反撃できない。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"003-009","忍者雷","雷","忍者","雷","影","5","6","2","8","4","Common","10.7","忍び足帯電体","忍び足：最初の攻撃時、相手は反撃できない。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"003-010","忍者猫","猫","忍者","獣","影","4","4","2","9","3","Common","10.4","忍び足俊敏","忍び足：最初の攻撃時、相手は反撃できない。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"003-011","忍者犬","犬","忍者","獣","影","4","4","4","7","1","Common","9.4","忍び足かばう","忍び足：最初の攻撃時、相手は反撃できない。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"003-012","忍者鬼","鬼","忍者","怪","影","5","7","4","5","5","Rare","12.2","忍び足金棒乱舞","忍び足：最初の攻撃時、相手は反撃できない。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"003-013","忍者幽霊","幽霊","忍者","影","影","4","3","2","6","7","Common","9.6","忍び足未練","忍び足：最初の攻撃時、相手は反撃できない。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"003-014","忍者魔王","魔王","忍者","闇","影","6","7","5","5","5","Rare","11.2","忍び足玉座","忍び足：最初の攻撃時、相手は反撃できない。 / 玉座：場にいる味方1体につき攻撃+1。"
"003-015","忍者呪い","呪い","忍者","影","影","4","2","3","4","8","Super Rare","8.5","忍び足返り呪","忍び足：最初の攻撃時、相手は反撃できない。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"003-016","忍者饅頭","饅頭","忍者","食","影","4","3","6","4","3","Common","9.2","忍び足あんこ壁","忍び足：最初の攻撃時、相手は反撃できない。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"003-017","忍者鍋","鍋","忍者","食","影","4","3","5","4","4","Common","8.9","忍び足鉄鍋","忍び足：最初の攻撃時、相手は反撃できない。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"003-018","忍者鍵","鍵","忍者","知","影","4","3","3","6","5","Common","10.4","忍び足鍵穴体","忍び足：最初の攻撃時、相手は反撃できない。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"003-019","忍者透明","透明","忍者","影","影","5","4","2","9","7","Rare","11.2","忍び足見えない本体","忍び足：最初の攻撃時、相手は反撃できない。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"003-020","忍者暴走","暴走","忍者","怪","影","6","7","3","8","6","Common","12.3","忍び足暴走体","忍び足：最初の攻撃時、相手は反撃できない。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"004-001","受験爺","爺","受験","知","学","4","2","5","1","6","Common","6.7","詰め込み知恵袋","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 知恵袋：倒されたとき、カードを1枚引く。"
"004-002","受験番長","番長","受験","武","学","5","4","5","2","6","Rare","7.9","詰め込み校内抗争","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。 / 校内抗争：召喚時、敵1体の速度-1。"
"004-003","受験忍者","忍者","受験","影","学","4","3","3","5","6","Common","8.3","詰め込み影分け","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"004-004","無限受験","受験","受験","学","学","5","2","6","1","9","Super Rare","7.8","詰め込み抽象怪異","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。 / 抽象怪異：直接攻撃されにくい。"
"004-005","受験宿題","宿題","受験","学","学","4","1","6","2","8","Super Rare","8.7","詰め込み抽象怪異","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。 / 抽象怪異：直接攻撃されにくい。"
"004-006","受験校長","校長","受験","知","学","4","2","7","2","6","Common","8.7","詰め込み朝礼台","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"004-007","受験コブシ","コブシ","受験","武","学","4","5","4","2","4","Common","7.9","詰め込み打撃体","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"004-008","受験牙","牙","受験","武","学","4","5","3","4","4","Common","8.5","詰め込み鋭牙","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"004-009","受験雷","雷","受験","雷","学","5","5","3","5","6","Common","8.7","詰め込み帯電体","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"004-010","受験猫","猫","受験","獣","学","4","3","3","6","5","Common","8.4","詰め込み俊敏","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"004-011","受験犬","犬","受験","獣","学","4","3","5","4","3","Common","7.4","詰め込みかばう","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"004-012","受験鬼","鬼","受験","怪","学","5","6","5","2","7","Rare","10.2","詰め込み金棒乱舞","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"004-013","受験幽霊","幽霊","受験","影","学","4","2","3","3","9","Super Rare","8.4","詰め込み抽象怪異","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。 / 抽象怪異：直接攻撃されにくい。"
"004-014","受験魔王","魔王","受験","闇","学","5","6","6","2","7","Rare","11.2","詰め込み玉座","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 玉座：場にいる味方1体につき攻撃+1。"
"004-015","受験呪い","呪い","受験","影","学","4","1","4","2","9","Super Rare","7.4","詰め込み抽象怪異","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 返り呪：倒されたとき、倒した相手に2ダメージ。 / 抽象怪異：直接攻撃されにくい。"
"004-016","受験饅頭","饅頭","受験","食","学","4","2","7","2","5","Common","8","詰め込みあんこ壁","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"004-017","受験鍋","鍋","受験","食","学","4","2","6","2","6","Common","7.7","詰め込み鉄鍋","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"004-018","受験鍵","鍵","受験","知","学","4","2","4","3","7","Common","8.4","詰め込み鍵穴体","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"004-019","受験透明","透明","受験","影","学","5","3","3","6","9","Super Rare","9.2","詰め込み見えない本体","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"004-020","受験暴走","暴走","受験","怪","学","6","6","4","5","8","Super Rare","10.3","詰め込み暴走体","詰め込み：召喚時、山札の上から2枚を見て1枚を上に戻す。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"005-001","宿題爺","爺","宿題","知","学","4","1","7","1","5","Common","6.8","先延ばし知恵袋","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 知恵袋：倒されたとき、カードを1枚引く。"
"005-002","宿題番長","番長","宿題","武","学","5","3","7","2","5","Rare","8","先延ばし校内抗争","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。 / 校内抗争：召喚時、敵1体の速度-1。"
"005-003","宿題忍者","忍者","宿題","影","学","4","2","5","5","5","Common","8.4","先延ばし影分け","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"005-004","宿題受験","受験","宿題","学","学","5","1","8","1","9","Super Rare","8.6","先延ばし抽象怪異","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。 / 抽象怪異：直接攻撃されにくい。"
"005-005","宿題宿題","宿題","宿題","学","学","4","1","8","1","7","Rare","9.2","先延ばし抽象怪異","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。 / 抽象怪異：直接攻撃されにくい。"
"005-006","宿題校長","校長","宿題","知","学","4","1","9","2","5","Common","8.8","先延ばし朝礼台","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"005-007","宿題コブシ","コブシ","宿題","武","学","4","4","6","2","3","Common","8","先延ばし打撃体","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"005-008","宿題牙","牙","宿題","武","学","4","4","5","4","3","Common","8.6","先延ばし鋭牙","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"005-009","宿題雷","雷","宿題","雷","学","5","4","5","5","5","Common","8.8","先延ばし帯電体","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"005-010","宿題猫","猫","宿題","獣","学","4","2","5","6","4","Common","8.5","先延ばし俊敏","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"005-011","宿題犬","犬","宿題","獣","学","4","2","7","4","2","Common","7.5","先延ばしかばう","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"005-012","宿題鬼","鬼","宿題","怪","学","5","5","7","2","6","Rare","10.3","先延ばし金棒乱舞","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"005-013","宿題幽霊","幽霊","宿題","影","学","4","1","5","3","9","Super Rare","9.2","先延ばし抽象怪異","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。 / 抽象怪異：直接攻撃されにくい。"
"005-014","宿題魔王","魔王","宿題","闇","学","5","5","8","2","6","Rare","11.3","先延ばし玉座","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 玉座：場にいる味方1体につき攻撃+1。"
"005-015","宿題呪い","呪い","宿題","影","学","4","1","6","2","9","Super Rare","9.4","先延ばし抽象怪異","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 返り呪：倒されたとき、倒した相手に2ダメージ。 / 抽象怪異：直接攻撃されにくい。"
"005-016","宿題饅頭","饅頭","宿題","食","学","4","1","9","2","4","Common","8.1","先延ばしあんこ壁","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"005-017","宿題鍋","鍋","宿題","食","学","4","1","8","2","5","Common","7.8","先延ばし鉄鍋","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"005-018","宿題鍵","鍵","宿題","知","学","4","1","6","3","6","Common","8.5","先延ばし鍵穴体","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
