creature_id,display_name,body,trait,attribute_main,attribute_sub,cost,attack,hp,speed,weird,rarity,power_score,ability_name,ability_text
"005-019","宿題透明","透明","宿題","影","学","5","2","5","6","8","Super Rare","9.3","先延ばし見えない本体","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"005-020","宿題暴走","暴走","宿題","怪","学","6","5","6","5","7","Common","10.4","先延ばし暴走体","先延ばし：このターンに受ける最初のダメージを1遅らせる。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"006-001","校長爺","爺","校長","知","知","4","2","6","1","5","Common","7","長話知恵袋","長話：相手の次の攻撃クリーチャーの速度-1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"006-002","校長番長","番長","校長","武","知","5","4","6","2","5","Rare","8.2","長話校内抗争","長話：相手の次の攻撃クリーチャーの速度-1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。 / 校内抗争：召喚時、敵1体の速度-1。"
"006-003","校長忍者","忍者","校長","影","知","4","3","4","5","5","Common","8.6","長話影分け","長話：相手の次の攻撃クリーチャーの速度-1。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"006-004","校長受験","受験","校長","学","知","4","2","7","1","8","Super Rare","9.3","長話試験場","長話：相手の次の攻撃クリーチャーの速度-1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"006-005","校長宿題","宿題","校長","学","知","4","1","7","1","7","Common","7.4","長話未提出","長話：相手の次の攻撃クリーチャーの速度-1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"006-006","校長校長","校長","校長","知","知","4","2","8","1","5","Common","8.2","長話朝礼台","長話：相手の次の攻撃クリーチャーの速度-1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"006-007","校長コブシ","コブシ","校長","武","知","4","5","5","2","3","Common","8.2","長話打撃体","長話：相手の次の攻撃クリーチャーの速度-1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"006-008","校長牙","牙","校長","武","知","4","5","4","4","3","Common","8.8","長話鋭牙","長話：相手の次の攻撃クリーチャーの速度-1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"006-009","校長雷","雷","校長","雷","知","5","5","4","5","5","Common","9","長話帯電体","長話：相手の次の攻撃クリーチャーの速度-1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"006-010","校長猫","猫","校長","獣","知","4","3","4","6","4","Common","8.7","長話俊敏","長話：相手の次の攻撃クリーチャーの速度-1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"006-011","校長犬","犬","校長","獣","知","4","3","6","4","2","Common","7.7","長話かばう","長話：相手の次の攻撃クリーチャーの速度-1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"006-012","校長鬼","鬼","校長","怪","知","5","6","6","2","6","Rare","10.5","長話金棒乱舞","長話：相手の次の攻撃クリーチャーの速度-1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"006-013","校長幽霊","幽霊","校長","影","知","4","2","4","3","8","Super Rare","7.9","長話未練","長話：相手の次の攻撃クリーチャーの速度-1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"006-014","校長魔王","魔王","校長","闇","知","5","6","7","2","6","Rare","11.5","長話玉座","長話：相手の次の攻撃クリーチャーの速度-1。 / 玉座：場にいる味方1体につき攻撃+1。"
"006-015","校長呪い","呪い","校長","影","知","4","1","5","2","9","Super Rare","7.6","長話返り呪","長話：相手の次の攻撃クリーチャーの速度-1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"006-016","校長饅頭","饅頭","校長","食","知","4","2","8","2","4","Common","8.3","長話あんこ壁","長話：相手の次の攻撃クリーチャーの速度-1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"006-017","校長鍋","鍋","校長","食","知","4","2","7","2","5","Common","8","長話鉄鍋","長話：相手の次の攻撃クリーチャーの速度-1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"006-018","校長鍵","鍵","校長","知","知","4","2","5","3","6","Common","8.7","長話鍵穴体","長話：相手の次の攻撃クリーチャーの速度-1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"006-019","校長透明","透明","校長","影","知","5","3","4","6","8","Super Rare","9.5","長話見えない本体","長話：相手の次の攻撃クリーチャーの速度-1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"006-020","校長暴走","暴走","校長","怪","知","6","6","5","5","7","Common","10.6","長話暴走体","長話：相手の次の攻撃クリーチャーの速度-1。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"007-001","コブシ爺","爺","コブシ","知","武","4","4","5","1","3","Common","7","拳圧知恵袋","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"007-002","コブシ番長","番長","コブシ","武","武","4","6","5","3","2","Common","9.5","拳圧舎弟呼び","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"007-003","コブシ忍者","忍者","コブシ","影","武","4","5","3","6","3","Common","9.4","拳圧影分け","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"007-004","コブシ受験","受験","コブシ","学","武","4","4","6","1","6","Common","9.3","拳圧試験場","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"007-005","コブシ宿題","宿題","コブシ","学","武","4","3","6","1","5","Common","7.4","拳圧未提出","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"007-006","コブシ校長","校長","コブシ","知","武","4","4","7","1","4","Common","8.9","拳圧朝礼台","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"007-007","コブシコブシ","コブシ","コブシ","武","武","4","7","4","2","1","Common","8.2","拳圧打撃体","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"007-008","コブシ牙","牙","コブシ","武","武","4","7","3","5","1","Common","9.6","拳圧鋭牙","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"007-009","コブシ雷","雷","コブシ","雷","武","5","7","3","6","3","Common","9.8","拳圧帯電体","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"007-010","コブシ猫","猫","コブシ","獣","武","4","5","3","7","2","Common","9.5","拳圧俊敏","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"007-011","コブシ犬","犬","コブシ","獣","武","4","5","5","5","1","Common","9.2","拳圧かばう","拳圧：攻撃時、このクリーチャーは攻撃+1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"007-012","コブシ鬼","鬼","コブシ","怪","武","5","8","5","3","4","Rare","11.3","拳圧金棒乱舞","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"007-013","コブシ幽霊","幽霊","コブシ","影","武","4","4","3","4","6","Common","8.7","拳圧未練","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"007-014","コブシ魔王","魔王","コブシ","闇","武","6","8","6","3","4","Rare","10.3","拳圧玉座","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 玉座：場にいる味方1体につき攻撃+1。"
"007-015","コブシ呪い","呪い","コブシ","影","武","4","3","4","2","7","Common","7.6","拳圧返り呪","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"007-016","コブシ饅頭","饅頭","コブシ","食","武","4","4","7","2","2","Common","8.3","拳圧あんこ壁","拳圧：攻撃時、このクリーチャーは攻撃+1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"007-017","コブシ鍋","鍋","コブシ","食","武","4","4","6","2","3","Common","8","拳圧鉄鍋","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"007-018","コブシ鍵","鍵","コブシ","知","武","4","4","4","4","4","Common","9.5","拳圧鍵穴体","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"007-019","コブシ透明","透明","コブシ","影","武","5","5","3","7","6","Rare","10.3","拳圧見えない本体","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"007-020","コブシ暴走","暴走","コブシ","怪","武","6","8","4","6","5","Common","11.4","拳圧暴走体","拳圧：攻撃時、このクリーチャーは攻撃+1。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"008-001","牙爺","爺","牙","知","武","4","4","4","2","4","Common","8.5","噛み砕き知恵袋","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 知恵袋：倒されたとき、カードを1枚引く。"
"008-002","牙番長","番長","牙","武","武","5","6","4","4","3","Common","9","噛み砕き舎弟呼び","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"008-003","牙忍者","忍者","牙","影","武","4","5","2","7","4","Common","10.9","噛み砕き影分け","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"008-004","牙受験","受験","牙","学","武","4","4","5","2","7","Common","10.8","噛み砕き試験場","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"008-005","牙宿題","宿題","牙","学","武","4","3","5","2","6","Common","8.9","噛み砕き未提出","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"008-006","牙校長","校長","牙","知","武","4","4","6","2","5","Common","10.4","噛み砕き朝礼台","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"008-007","牙コブシ","コブシ","牙","武","武","4","7","3","3","3","Common","10.4","噛み砕き打撃体","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"008-008","牙牙","牙","牙","武","武","4","7","2","5","2","Common","10.3","噛み砕き鋭牙","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"008-009","牙雷","雷","牙","雷","武","5","7","2","7","4","Common","11.3","噛み砕き帯電体","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"008-010","牙猫","猫","牙","獣","武","5","5","2","8","3","Common","9","噛み砕き俊敏","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"008-011","牙犬","犬","牙","獣","武","4","5","4","6","1","Common","10","噛み砕きかばう","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"008-012","牙鬼","鬼","牙","怪","武","5","8","4","4","5","Rare","12.8","噛み砕き金棒乱舞","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"008-013","牙幽霊","幽霊","牙","影","武","4","4","2","5","7","Common","10.2","噛み砕き未練","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"008-014","牙魔王","魔王","牙","闇","武","6","8","5","4","5","Rare","11.8","噛み砕き玉座","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 玉座：場にいる味方1体につき攻撃+1。"
"008-015","牙呪い","呪い","牙","影","武","4","3","3","3","8","Super Rare","9.1","噛み砕き返り呪","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"008-016","牙饅頭","饅頭","牙","食","武","4","4","6","3","3","Common","9.8","噛み砕きあんこ壁","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"008-017","牙鍋","鍋","牙","食","武","4","4","5","3","4","Common","9.5","噛み砕き鉄鍋","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"008-018","牙鍵","鍵","牙","知","武","4","4","3","5","5","Common","11","噛み砕き鍵穴体","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"008-019","牙透明","透明","牙","影","武","5","5","2","8","7","Rare","11.8","噛み砕き見えない本体","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"008-020","牙暴走","暴走","牙","怪","武","6","8","3","7","6","Common","12.9","噛み砕き暴走体","噛み砕き：体力3以下の敵を攻撃すると攻撃+2。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"009-001","雷爺","爺","雷","知","雷","4","3","4","3","5","Common","7.8","落雷知恵袋","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 知恵袋：倒されたとき、カードを1枚引く。"
"009-002","雷番長","番長","雷","武","雷","5","5","4","5","4","Common","8.3","落雷舎弟呼び","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"009-003","雷忍者","忍者","雷","影","雷","5","4","2","8","5","Common","8.2","落雷影分け","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"009-004","雷受験","受験","雷","学","雷","5","3","5","3","8","Super Rare","8.1","落雷試験場","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"009-005","雷宿題","宿題","雷","学","雷","4","2","5","3","7","Common","8.2","落雷未提出","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"009-006","雷校長","校長","雷","知","雷","5","3","6","3","6","Common","7.7","落雷朝礼台","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"009-007","雷コブシ","コブシ","雷","武","雷","5","6","3","4","4","Common","7.7","落雷打撃体","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"009-008","雷牙","牙","雷","武","雷","5","6","2","6","4","Common","8.3","落雷鋭牙","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"009-009","雷雷","雷","雷","雷","雷","5","6","2","7","5","Common","9.8","落雷帯電体","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"009-010","雷猫","猫","雷","獣","雷","5","4","2","9","4","Common","8.3","落雷俊敏","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"009-011","雷犬","犬","雷","獣","雷","4","4","4","7","2","Common","9.3","落雷かばう","落雷：召喚時、最も速度が低い敵に1ダメージ。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"009-012","雷鬼","鬼","雷","怪","雷","6","7","4","5","6","Rare","10.1","落雷金棒乱舞","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。"
"009-013","雷幽霊","幽霊","雷","影","雷","4","3","2","6","8","Super Rare","9.5","落雷未練","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"009-014","雷魔王","魔王","雷","闇","雷","6","7","5","5","6","Rare","11.1","落雷玉座","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 玉座：場にいる味方1体につき攻撃+1。"
"009-015","雷呪い","呪い","雷","影","雷","4","2","3","4","9","Super Rare","8.4","落雷返り呪","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"009-016","雷饅頭","饅頭","雷","食","雷","4","3","6","4","4","Common","9.1","落雷あんこ壁","落雷：召喚時、最も速度が低い敵に1ダメージ。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"009-017","雷鍋","鍋","雷","食","雷","4","3","5","4","5","Common","8.8","落雷鉄鍋","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"009-018","雷鍵","鍵","雷","知","雷","4","3","3","6","6","Common","10.3","落雷鍵穴体","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"009-019","雷透明","透明","雷","影","雷","5","4","2","9","8","Super Rare","11.1","落雷見えない本体","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"009-020","雷暴走","暴走","雷","怪","雷","6","7","3","8","7","Common","12.2","落雷暴走体","落雷：召喚時、最も速度が低い敵に1ダメージ。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
"010-001","猫爺","爺","猫","知","獣","3","2","4","3","5","Common","8.6","気まぐれ知恵袋","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"010-002","猫番長","番長","猫","武","獣","4","4","4","5","4","Common","9.1","気まぐれ舎弟呼び","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"010-003","猫忍者","忍者","猫","影","獣","4","3","2","8","5","Common","9","気まぐれ影分け","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 影分け：速度が相手以上なら、受けるダメージ-1。"
"010-004","猫受験","受験","猫","学","獣","4","2","5","3","8","Super Rare","8.9","気まぐれ試験場","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"010-005","猫宿題","宿題","猫","学","獣","4","1","5","3","7","Common","7","気まぐれ未提出","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"010-006","猫校長","校長","猫","知","獣","4","2","6","3","6","Common","8.5","気まぐれ朝礼台","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"010-007","猫コブシ","コブシ","猫","武","獣","4","5","3","4","4","Common","8.5","気まぐれ打撃体","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。"
"010-008","猫牙","牙","猫","武","獣","4","5","2","6","4","Common","9.1","気まぐれ鋭牙","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。"
"010-009","猫雷","雷","猫","雷","獣","5","5","2","7","6","Common","9.3","気まぐれ帯電体","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"010-010","猫又","猫","猫","獣","獣","4","3","2","8","4","Common","8.3","気まぐれ俊敏","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"010-011","猫犬","犬","猫","獣","獣","4","3","4","7","2","Common","8.1","気まぐれかばう","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"010-012","猫鬼","鬼","猫","怪","獣","6","7","4","5","7","Rare","11.6","気まぐれ妖獣","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。 / 妖獣：攻撃時、奇怪+1。"
"010-013","猫幽霊","幽霊","猫","影","獣","5","3","2","6","9","Super Rare","9","気まぐれ妖獣","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。 / 妖獣：攻撃時、奇怪+1。"
"010-014","猫魔王","魔王","猫","闇","獣","6","7","5","5","7","Rare","12.6","気まぐれ妖獣","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 玉座：場にいる味方1体につき攻撃+1。 / 妖獣：攻撃時、奇怪+1。"
"010-015","猫呪い","呪い","猫","影","獣","4","2","3","4","9","Super Rare","9.2","気まぐれ妖獣","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。 / 妖獣：攻撃時、奇怪+1。"
"010-016","猫饅頭","饅頭","猫","食","獣","4","2","6","4","4","Common","7.9","気まぐれあんこ壁","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"010-017","猫鍋","鍋","猫","食","獣","4","2","5","4","5","Common","7.6","気まぐれ鉄鍋","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"010-018","猫鍵","鍵","猫","知","獣","4","2","3","6","6","Common","9.1","気まぐれ鍵穴体","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"010-019","猫透明","透明","猫","影","獣","5","3","2","9","8","Super Rare","9.9","気まぐれ見えない本体","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
"010-020","猫暴走","暴走","猫","怪","獣","6","6","3","8","7","Common","11","気まぐれ暴走体","気まぐれ：攻撃時、奇怪が相手以上なら速度+1。 / 暴走体：毎ターン必ず攻撃する。攻撃できない場合、自分に2ダメージ。"
